# mean_dt: 1.1825
# std_dt: 0.0429389100932938
# shoves_per_minute: 57.08245243128964
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;1243;5.0;Lennard_Flach_3;1.1600000000000001;64.96;69.11;71.84;19.72
2;1473;6.16;Lennard_Flach_3;1.1799999999999997;58.36;69.55;68.3;14.59
3;1711;7.34;Lennard_Flach_3;1.1799999999999997;60.93;66.34;60.82;17.7
4;1946;8.52;Lennard_Flach_3;1.1300000000000008;57.39;71.11;60.72;15.48
5;2172;9.65;Lennard_Flach_3;1.209999999999999;38.68;45.52;67.27;18.04
6;2413;10.86;Lennard_Flach_3;1.200000000000001;39.04;51.27;70.93;13.44
7;2654;12.06;Lennard_Flach_3;1.2699999999999996;50.12;58.62;69.41;18.96
8;2908;13.33;Lennard_Flach_3;1.1300000000000008;48.25;55.16;67.03;23.27
9;3135;14.46;Lennard_Flach_3;;;;;
