# mean_dt: 1.2687499999999998
# std_dt: 0.060091076708608776
# shoves_per_minute: 53.201970443349765
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;335;31.68;Lennard_Flach_2;1.2999999999999972;61.6;69.9;97.84;16.72
2;595;32.98;Lennard_Flach_2;1.240000000000002;53.67;64.82;91.7;17.46
3;845;34.22;Lennard_Flach_2;1.3000000000000043;52.95;72.76;72.82;18.72
4;1105;35.52;Lennard_Flach_2;1.3899999999999935;55.49;69.67;60.13;17.61
5;1382;36.91;Lennard_Flach_2;1.2900000000000063;62.49;67.61;84.04;11.07
6;1641;38.2;Lennard_Flach_2;1.2199999999999989;62.53;62.34;102.87;9.16
7;1885;39.42;Lennard_Flach_2;1.2199999999999989;61.71;68.5;91.03;15.22
8;2127;40.64;Lennard_Flach_2;1.1899999999999977;62.9;67.57;60.09;20.39
9;2366;41.83;Lennard_Flach_2;;;;;
