# mean_dt: 0.9288888888888889
# std_dt: 0.044583116994975316
# shoves_per_minute: 71.77033492822966
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;872;3.2;Dominic_Berg2;0.9500000000000002;41.28;62.6;55.47;33.26
2;1063;4.15;Dominic_Berg2;0.9299999999999997;38.91;59.79;60.38;27.49
3;1250;5.08;Dominic_Berg2;0.9299999999999997;40.42;62.71;58.69;32.96
4;1435;6.01;Dominic_Berg2;0.9300000000000006;41.78;63.04;57.25;35.25
5;1620;6.94;Dominic_Berg2;0.9499999999999993;47.27;66.46;59.2;30.69
6;1811;7.89;Dominic_Berg2;0.8500000000000005;35.31;56.82;50.18;22.97
7;1981;8.74;Dominic_Berg2;0.8599999999999994;33.8;53.28;57.75;32.18
8;2154;9.6;Dominic_Berg2;1.0;43.34;65.62;57.93;25.87
9;2352;10.6;Dominic_Berg2;0.9600000000000009;44.01;63.31;59.35;27.39
10;2546;11.56;Dominic_Berg2;;;;;
