# mean_dt: 1.2650000000000006
# std_dt: 0.05958187643906425
# shoves_per_minute: 53.35968379446638
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;116;22.58;Dominic_Flach_4;1.1900000000000013;44.38;68.15;74.63;11.74
2;354;23.77;Dominic_Flach_4;1.1700000000000017;42.72;68.55;75.01;11.41
3;589;24.94;Dominic_Flach_4;1.2300000000000004;42.81;68.3;80.48;9.32
4;834;26.17;Dominic_Flach_4;1.2899999999999991;43.0;68.76;80.11;11.43
5;1091;27.46;Dominic_Flach_4;1.3299999999999983;40.96;68.41;79.12;13.04
6;1358;28.79;Dominic_Flach_4;1.3100000000000023;38.24;66.73;79.31;11.86
7;1621;30.1;Dominic_Flach_4;1.3399999999999999;40.48;65.34;78.59;12.03
8;1888;31.44;Dominic_Flach_4;1.2600000000000016;36.0;60.52;79.93;13.07
9;2141;32.7;Dominic_Flach_4;;;;;
