# mean_dt: 1.244444444444444
# std_dt: 0.06784150009988342
# shoves_per_minute: 53.57142857142859
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;319;23.6;Dominic_Flach_2;1.1199999999999974;43.2;65.2;61.65;14.72
2;545;24.72;Dominic_Flach_2;1.1700000000000017;44.45;64.67;64.4;9.69
3;778;25.89;Dominic_Flach_2;1.1899999999999977;40.68;64.68;69.2;9.87
4;1016;27.08;Dominic_Flach_2;1.2200000000000024;42.09;64.94;72.19;13.27
5;1260;28.3;Dominic_Flach_2;1.2799999999999976;37.45;62.48;73.02;9.6
6;1517;29.58;Dominic_Flach_2;1.3000000000000007;38.16;61.84;72.93;13.79
7;1775;30.88;Dominic_Flach_2;1.3000000000000007;40.39;65.74;72.08;10.98
8;2036;32.18;Dominic_Flach_2;1.3299999999999983;39.25;62.3;75.41;11.43
9;2301;33.51;Dominic_Flach_2;1.2899999999999991;39.92;63.94;70.28;16.24
10;2560;34.8;Dominic_Flach_2;;;;;
