# mean_dt: 1.79
# std_dt: 0.5648303580132117
# shoves_per_minute: 39.10614525139665
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;827;2.97;Paul_Flach_1;3.0499999999999994;30.79;62.88;121.8;17.01
2;1436;6.02;Paul_Flach_1;1.4600000000000009;16.56;39.7;109.27;9.09
3;1729;7.48;Paul_Flach_1;1.549999999999999;16.83;37.38;114.0;5.5
4;2039;9.03;Paul_Flach_1;1.5899999999999999;15.76;33.85;110.06;5.76
5;2356;10.62;Paul_Flach_1;1.540000000000001;6.26;31.07;104.57;2.12
6;2666;12.16;Paul_Flach_1;1.5500000000000007;5.83;13.16;95.26;3.88
7;2975;13.71;Paul_Flach_1;;;;;
