# mean_dt: 1.205
# std_dt: 0.04795831523312719
# shoves_per_minute: 56.01659751037344
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;1059;4.1;Lennard_Flach_1;1.2800000000000002;53.67;57.3;72.12;16.71
2;1316;5.38;Lennard_Flach_1;1.2800000000000002;58.36;61.98;74.59;16.34
3;1573;6.66;Lennard_Flach_1;1.1799999999999997;53.93;60.31;73.87;16.05
4;1809;7.84;Lennard_Flach_1;1.1799999999999997;41.97;52.58;65.95;12.67
5;2043;9.02;Lennard_Flach_1;1.200000000000001;51.23;59.69;79.96;15.83
6;2283;10.22;Lennard_Flach_1;1.1999999999999993;45.2;49.8;84.4;19.8
7;2523;11.42;Lennard_Flach_1;1.1300000000000008;36.55;54.3;80.93;16.41
8;2750;12.55;Lennard_Flach_1;1.1899999999999995;27.56;44.85;79.79;11.31
9;2989;13.74;Lennard_Flach_1;;;;;
